gene	logFC	logCPM	LR	PValue	FDR
GPATCH4	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RRNAD1	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
PRCC	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
NCSTN	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
ITLN1	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
POGK	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
CREG1	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
SFT2D2	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RABGAP1L	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RGL1	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RNF2	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RNPEP	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
ARL8A	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
PPP1R12B	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
PPP1R15B	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
TMEM63A	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
RP11-295G20.2	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
TSNAX	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
GPR137B	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
FH	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
KMO	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
